name,name_en,amenity,building,healthcare,healthca_1,operator_t,capacity_p,addr_full,addr_city,source,name_ro,osm_id,osm_type,longitude,latitude
Sensiblu,,pharmacy,,pharmacy,,,,,,,,391471008,nodes,26.6639105,47.7438864
Farmacia Mio Farm,,pharmacy,,pharmacy,,,,,Botosani,,,6417360293,nodes,26.6606464,47.7446633
Malina Biofarm,,pharmacy,,pharmacy,,,,,,,,600096878,nodes,26.6611475,47.7384697
Farmacia Medimfarm,,pharmacy,,pharmacy,,,,,Botosani,,,6374555548,nodes,26.6677814,47.7411604
Vera SRL,,pharmacy,,pharmacy,,,,,Botosani,,,6374553126,nodes,26.6675669,47.74041
Cabinet Stomatologic,,dentist,,dentist,dentist,,,,Botosani,,,6411410855,nodes,26.6670943,47.7475214
Farmacia Corindalis,,pharmacy,,pharmacy,,,,,Botosani,,,6411365104,nodes,26.6682941,47.7450365
Cabinet Stomatologic Dr. Balauca Claudia Roxana,,dentist,,dentist,,,,,Botosani,,,6612619511,nodes,26.6665376,47.7449283
Centru Sanitar,,doctors,,,,,,,,,,5408074127,nodes,26.3137101,47.2158056
Farmacia Ardealul,,pharmacy,,pharmacy,,,,,,,,9521377408,nodes,26.3485417,46.9767686
Ecomed,,,,laboratory,,,,,Botosani,,,6421723913,nodes,26.6646585,47.7446379
Serviciul Judetean de Medicina Legala,,,,laboratory,,,,,Botosani,,,6374560508,nodes,26.6657322,47.7398725
Sfera Optic,,,,optometrist,ophthalmology,,,,Botosani,,,6374557357,nodes,26.6677332,47.7405904
Ropharma,,pharmacy,,pharmacy,,,,,,,,2288042118,nodes,25.4534609,46.7933084
,,dentist,,dentist,,,,,,,,6318040821,nodes,25.4527199,46.7929832
Szent Lenard Patika,,pharmacy,,pharmacy,,,,,,,,2288042172,nodes,25.4528222,46.7930116
,,doctors,,doctor,general,,,,,,,8600113411,nodes,25.4527482,46.7931506
,,pharmacy,,,,,,,,,,3271434059,nodes,25.4970088,46.8028431
VOLSCENS PRODIMPEX,,pharmacy,,,,,,,,,,11150040646,nodes,24.6976492,46.7823005
Cabinet Medical,,doctors,,,,,,,,,,2315852762,nodes,24.6507183,46.8848998
,,doctors,,,,,,,,,,676502789,nodes,24.6041475,46.9974707
Farmacia Sf. Nicolae al Mirelor,,pharmacy,,pharmacy,,,,,Manastirea Neamt,,,3727146138,nodes,26.2082268,47.2626049
Farmacia Mare,,pharmacy,,pharmacy,,,,,Borsa,,,10636982472,nodes,24.6647744,47.6562876
Farmacia Pefarm,,pharmacy,,pharmacy,,,,,Borsa,,,10636845330,nodes,24.6656769,47.6545622
Farmacia Davilla,,pharmacy,,pharmacy,,,,,Borsa,,,10636982463,nodes,24.6656917,47.6552166
Catena,,pharmacy,,pharmacy,,,,,Borsa,,,10636982464,nodes,24.6651819,47.6554661
Dr. Max,,pharmacy,,pharmacy,,,,,Borsa,,,10637107649,nodes,24.6619159,47.6549757
Centru de agrement Sangeorz-Bai,,clinic,,clinic,,,,,,,,5072159599,nodes,24.67059,47.3693599
Complex Sanatorial Sangeorz-Bai,,clinic,,,,,,,,,,5072190360,nodes,24.6614544,47.3765821
Aralia Farm,,pharmacy,,,,,,,,,,1565493170,nodes,26.8441776,47.2423796
FizioMed Expert,,hospital,,physiotherapist,physiotherapy,,,,Halaucesti,local knowledge,,7832765684,nodes,26.8134646,47.0942734
,,,,laboratory,,,,,,,,6318040822,nodes,25.4527925,46.7930809
Dispensar,,doctors,,,,,,,Monor,,,488159912,nodes,24.6939015,46.9501923
Farmacia Elena,,pharmacy,,pharmacy,,,,,Targu Neamt,,,5570369321,nodes,26.3592241,47.205749
Cabinet medical,,clinic,,,,,,,,,,5478255023,nodes,26.3631427,47.2046108
Farmacia Opris,,pharmacy,,,,,,,,,,5408090123,nodes,26.3596817,47.2065347
Farmacie,,pharmacy,,pharmacy,,,,,,,,6452869495,nodes,26.3609844,47.2063708
Farmacie,,pharmacy,,pharmacy,,,,,,,,6452869494,nodes,26.3632412,47.2059025
Micomedica,,clinic,,,,,,,Targu Neamt,,,4903134805,nodes,26.3628283,47.2081082
Catena,,pharmacy,,pharmacy,,,,,Targu Neamt,,,6483502185,nodes,26.3641749,47.2060768
Farmacie,,pharmacy,,pharmacy,,,,,,,,3763561739,nodes,24.9320329,46.8325191
,,doctors,,doctor,neurology;physiotherapy,,,,,,,4786952741,nodes,25.5872639,46.7202271
ASZLA Maganorvosi Rendelo,,doctors,,doctor,general,,,,Remetea,,Cabinet Medical Individual ASZLA,8600113413,nodes,25.4565182,46.7964462
,,pharmacy,,,,,,,,,,4133376390,nodes,25.4545968,46.7926695
,,doctors,,doctor,general,,,,,,,3550377260,nodes,25.49695,46.8011842
,,pharmacy,,,,,,,,,,3271439361,nodes,25.4986465,46.8016153
,,hospital,,,,,,,,,,4193667559,nodes,25.5001556,46.8005067
CANCEL ANTON CMI,,clinic,,,,,,,,,,5109316622,nodes,26.8439025,46.7410714
Clinica Dr. Mariuta-Medestetic,,dentist,,dentist,,,,,Piatra Neamt,,,11254423864,nodes,26.3679908,46.9310467
LobMed,,clinic,,clinic,,,,,Toplita,,,9251087005,nodes,25.3463921,46.9244453
Farmacie veterinara,,pharmacy,,,,,,,,survey,,2760334360,nodes,25.3564845,46.9254959
Spitalul Municipal,,hospital,,,,,,,Toplita,,,2780836923,nodes,25.3560293,46.9224615
Farmacia Nova,,pharmacy,,,,,,,,,,2781321866,nodes,25.3535308,46.9231019
Farmacie,,pharmacy,,,,,,,,,,2781317407,nodes,25.3516413,46.9231972
dr. Simon Istvan Zsolt,,dentist,,dentist,,,,,,,,6302830979,nodes,25.3549466,46.9202205
Farmacie,,pharmacy,,,,,,,,,,4863482197,nodes,25.3571367,46.9264148
,,doctors,,doctor,,,,,,,,6302835572,nodes,25.5603033,46.9657069
,,dentist,,dentist,,,,,,,,6302835578,nodes,25.5603359,46.9657233
Ropharma,,pharmacy,,pharmacy,,,,,,,,5849422497,nodes,25.5619978,46.9641134
dr. Peterfi Levente,,dentist,,,,,,,,,,3509814569,nodes,25.7590013,46.9636006
,,doctors,,doctor,,,,,,,,6126112134,nodes,25.7595282,46.9551256
Dr. Trucza Orsolya,,doctors,,doctor,diabetology,,,,,,,4778216978,nodes,25.5934153,46.7226903
,,pharmacy,,,,,,,,,,676502768,nodes,24.6112313,47.0001911
